	count	mean	std	min	25%	50%	75%	max	Total_Days	count_PN	mean_PN	std_PN	min_PN	25%_PN	50%_PN	75%_PN	max_PN	Total_Days_PN	count_PC	mean_PC	std_PC	min_PC	25%_PC	50%_PC	75%_PC	max_PC	Total_Days_PC	count_PS	mean_PS	std_PS	min_PS	25%_PS	50%_PS	75%_PS	max_PS	Total_Days_PS
2004 days 00:00:00	7.0	6.0	2.23606797749979	5.0	5.0	5.0	5.5	11.0	42.0	2.0	8.5	3.5355339059327378	6.0	7.25	8.5	9.75	11.0	17.0	2.0	5.0	0.0	5.0	5.0	5.0	5.0	5.0	10.0	3.0	5.0	0.0	5.0	5.0	5.0	5.0	5.0	15.0
2005 days 00:00:00	7.0	6.428571428571429	1.7182493859684493	5.0	5.5	6.0	6.5	10.0	45.0	2.0	8.0	2.8284271247461903	6.0	7.0	8.0	9.0	10.0	16.0	2.0	6.5	0.7071067811865476	6.0	6.25	6.5	6.75	7.0	13.0	3.0	5.333333333333333	0.5773502691896258	5.0	5.0	5.0	5.5	6.0	16.0
2006 days 00:00:00	8.0	7.0	2.2677868380553634	4.0	5.0	7.0	8.5	10.0	56.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0	3.0	8.0	3.4641016151377544	4.0	7.0	10.0	10.0	10.0	24.0	4.0	6.75	1.2583057392117916	5.0	6.5	7.0	7.25	8.0	27.0
2007 days 00:00:00	7.0	6.142857142857143	2.2677868380553634	4.0	5.0	6.0	6.0	11.0	43.0	2.0	6.0	0.0	6.0	6.0	6.0	6.0	6.0	12.0	1.0	11.0		11.0	11.0	11.0	11.0	11.0	11.0	4.0	5.0	0.816496580927726	4.0	4.75	5.0	5.25	6.0	20.0
2008 days 00:00:00	11.0	6.2727272727272725	2.76010539983201	4.0	4.5	5.0	7.5	12.0	69.0										10.0	6.3	2.9078437983419185	4.0	4.25	5.0	8.0	12.0	63.0	1.0	6.0		6.0	6.0	6.0	6.0	6.0	6.0
2009 days 00:00:00	8.0	6.375	2.1339098923270936	4.0	5.0	6.0	7.0	11.0	51.0	3.0	5.0	1.0	4.0	4.5	5.0	5.5	6.0	15.0	4.0	7.75	2.217355782608345	6.0	6.75	7.0	8.0	11.0	31.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0
2010 days 00:00:00	6.0	6.833333333333333	4.020779360604939	4.0	4.0	4.5	10.25	12.0	41.0	2.0	12.0	0.0	12.0	12.0	12.0	12.0	12.0	24.0	4.0	4.25	0.5	4.0	4.0	4.0	4.25	5.0	17.0									
2011 days 00:00:00	10.0	7.0	3.2998316455372216	4.0	4.25	5.5	9.5	13.0	70.0	2.0	4.0	0.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	7.75	3.2841611235921855	4.0	5.0	7.0	10.25	13.0	62.0									
2012 days 00:00:00	6.0	7.0	1.6733200530681511	5.0	6.0	6.5	8.5	9.0	42.0	3.0	6.666666666666667	2.0816659994661326	5.0	5.5	6.0	7.5	9.0	20.0	2.0	7.5	2.1213203435596424	6.0	6.75	7.5	8.25	9.0	15.0	1.0	7.0		7.0	7.0	7.0	7.0	7.0	7.0
2013 days 00:00:00	9.0	5.777777777777778	1.6414763002993507	4.0	5.0	5.0	7.0	9.0	52.0	1.0	7.0		7.0	7.0	7.0	7.0	7.0	7.0	6.0	4.833333333333333	0.752772652709081	4.0	4.25	5.0	5.0	6.0	29.0	2.0	8.0	1.4142135623730951	7.0	7.5	8.0	8.5	9.0	16.0
2014 days 00:00:00	8.0	4.375	0.5175491695067657	4.0	4.0	4.0	5.0	5.0	35.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.4	0.5477225575051662	4.0	4.0	4.0	5.0	5.0	22.0	1.0	4.0		4.0	4.0	4.0	4.0	4.0	4.0
2015 days 00:00:00	5.0	4.6	0.8944271909999159	4.0	4.0	4.0	5.0	6.0	23.0	2.0	4.0	0.0	4.0	4.0	4.0	4.0	4.0	8.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0	1.0	4.0		4.0	4.0	4.0	4.0	4.0	4.0
2016 days 00:00:00	8.0	5.125	0.8345229603962802	4.0	4.75	5.0	6.0	6.0	41.0	3.0	5.333333333333333	0.5773502691896258	5.0	5.0	5.0	5.5	6.0	16.0	2.0	5.0	1.4142135623730951	4.0	4.5	5.0	5.5	6.0	10.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0
2017 days 00:00:00	6.0	5.166666666666667	0.983192080250175	4.0	4.25	5.5	6.0	6.0	31.0	3.0	5.0	1.0	4.0	4.5	5.0	5.5	6.0	15.0	2.0	5.0	1.4142135623730951	4.0	4.5	5.0	5.5	6.0	10.0	1.0	6.0		6.0	6.0	6.0	6.0	6.0	6.0
2018 days 00:00:00	5.0	6.2	2.280350850198276	4.0	5.0	6.0	6.0	10.0	31.0	2.0	8.0	2.8284271247461903	6.0	7.0	8.0	9.0	10.0	16.0	3.0	5.0	1.0	4.0	4.5	5.0	5.5	6.0	15.0									
